	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
95	22705	22817	20394	19178	20802	22417	15719	4008	16530	3615	17485	23422	30146	14665	15165	6017	5454	4783	21905	19169	3069	4312	6077	14686	5537	0	12201	14720	18557	11914	14942.5	13915.6333333333	7884.01644745102	55.4421790422316	2.75396422516955e-10	2.08750488267852e-07	2.19737356071423e-09
96	5726	6838	5756	3888	5546	5383	2807	268	2868	58	2961	3374	3855	5010	2529	100	76	231	8942	3172	22	138	111	4656	19	162	3252	2306	5312	4104	3066.5	2982.33333333333	2464.69723024586	52.7672716411625	4.69859657095915e-10	3.56153620078703e-07	3.70993354248649e-09
97	170926	160593	149257	150905	155580	177153	126793	0	149545	0	139569	191339	238462	0	128486	0	0	0	176752	156311	0	0	0	125638	0	0	95566	109128	144116	94189	126215.5	94676.9333333333	78075.4706121311	51.9289121838929	5.57975239438548e-10	4.22945231494419e-07	4.36026011849917e-09
98	51881	48852	42604	46153	45637	54350	52483	0	50217	0	52593	81757	92249	31279	47574	0	0	0	54006	47643	0	0	0	37482	19734	0	40100	43523	44309	38655	43063.5	34102.7	25989.8953403712	51.7467688407766	5.79374328866323e-10	4.39165741280673e-07	4.48128307429258e-09
99	8377	7102	7444	8043	5571	7303	0	18383	10517	20775	0	0	0	0	0	0	19073	20380	7150	7660	16395	16662	20473	0	24483	21667	0	0	7287	0	7295	8491.5	8342.91187382935	51.6293255222172	5.93638468307213e-10	4.49977958976867e-07	4.54523190885725e-09
100	9090	7943	7893	8413	8436	9538	10601	0	8903	0	10582	14960	17886	6014	8797	0	0	0	8460	9422	3659	0	0	7471	0	0	7603	8439	7725	7411	7809	6308.2	4846.59605681462	51.3465598537469	6.29552807319474e-10	4.77201027948161e-07	4.77201027948161e-09
101	8608	9445	9778	9398	7238	7917	7309	2346	6312	1494	8662	10262	13832	5842	5111	2092	1638	2865	9784	6691	1398	2251	0	9412	632	0	7675	6642	7340	7366	6964.5	5978	3648.56680412158	50.5044216303157	7.51054026540537e-10	5.69298952117727e-07	5.63662328829433e-09
102	2954	2635	2600	2057	1913	1893	904	0	986	0	1796	1373	1316	2226	901	0	0	24	3270	1378	0	0	0	1773	0	0	1160	662	2185	1177	1168.5	1172.76666666667	1029.23365141031	50.3964833190508	7.68363917601539e-10	5.82419849541967e-07	5.70999852492124e-09
103	107592	108858	96246	84512	97470	123425	70182	0	107786	0	55176	80747	132269	57369	53252	0	79964	0	115493	88899	0	0	0	81117	0	0	47849	65083	102423	47133	67632.5	60094.8333333333	45260.6221048285	49.0228952441608	1.03033460351479e-09	7.80993629464213e-07	7.47141143055749e-09
104	54153	50736	46821	47946	45224	51847	8268	0	0	0	6036	13122	0	0	8400	0	0	0	56392	24675	0	0	0	0	0	0	9941	7477	45335	9692	6756.5	16202.1666666667	21412.2981888887	49.0098719258614	1.03323629135605e-09	7.83193108847882e-07	7.47141143055749e-09
105	17752	18052	16932	13772	17245	20456	18976	3	19579	1196	18974	25575	37702	10135	20206	0	446	0	17476	14170	0	14	0	16210	0	0	13339	16387	16173	13027	15171.5	12126.5666666667	9755.42863436712	49.0021629174477	1.03495804776852e-09	7.84498200208536e-07	7.47141143055749e-09
